"State","Total.Population","Occupation","Gender","Number","Total.Employed","Area.Name"
"Iowa",1194020,"Service","Female",19953,650627,"Iowa"
"Kansas",364399,"Service","Female",5450,186770,"Kansas"
"Kentucky",1321011,"Service","Female",42050,595798,"Kentucky"
"Louisiana",726915,"Service","Female",28464,307711,"Louisiana"
"Maine",626915,"Service","Female",15409,363355,"Maine"
"Maryland",780894,"Service","Female",35948,363978,"Maryland"
"Massachusetts",1457351,"Service","Female",55374,867226,"Massachusetts"
"Michigan",1184059,"Service","Female",51974,668008,"Michigan"
"Minnesota",439706,"Service","Female",9410,229418,"Minnesota"
"Mississippi",827922,"Service","Female",20092,357991,"Mississippi"
"Missouri",1721295,"Service","Female",31824,829896,"Missouri"
"Montana Territory",20595,"Service","Female",159,14967,"Montana"
"Nebraska",122993,"Service","Female",1664,61785,"Nebraska"
"Nevada",42491,"Service","Female",279,29803,"Nevada"
"New Hampshire",318300,"Service","Female",9707,185992,"New Hampshire"
"New Jersey",906096,"Service","Female",29105,454121,"New Jersey"
"New Mexico Territory",91874,"Service","Female",1993,31241,"New Mexico"
"New York",4382759,"Service","Female",171770,2337763,"New York"
"North Carolina",1071361,"Service","Female",28217,416586,"North Carolina"
"Ohio",2665260,"Service","Female",64290,1486513,"Ohio"
"Oregon",90923,"Service","Female",568,48728,"Oregon"
"Pennsylvania",3521951,"Service","Female",90326,1745543,"Pennsylvania"
"Rhode Island",217353,"Service","Female",7330,123484,"Rhode Island"
"South Carolina",705606,"Service","Female",18857,304866,"South Carolina"
"Tennessee",1258520,"Service","Female",24319,488692,"Tennessee"
"Texas",818579,"Service","Female",13714,302325,"Texas"
"Utah Territory",86786,"Service","Female",933,36142,"Utah"
"Vermont",330551,"Service","Female",11352,178962,"Vermont"
"Virginia",1225163,"Service","Female",53114,483505,"Virginia"
"Washington Territory",23955,"Service","Female",207,13292,"Washington"
"West Virginia",442014,"Service","Female",7063,197422,"West Virginia"
"Wisconsin",1054670,"Service","Female",20172,553410,"Wisconsin"
"Wyoming Territory",9118,"Service","Female",272,7009,"Wyoming"
"Alabama",996992,"School","Male",38600,442397,"Alabama"
"Arizona Territory",9658,"School","Male",79,6179,"Arizona"
"Arkansas",484471,"School","Male",33068,198521,"Arkansas"
"California",560247,"School","Male",46742,329651,"California"
"Colorado Territory",39864,"School","Male",1388,20199,"Colorado"
"Connecticut",537454,"School","Male",51276,293053,"Connecticut"
"Dakota Territory",14181,"School","Male",606,7015,"Dakota"
"Delaware",125015,"School","Male",10525,60278,"Delaware"
"District of Columbia",131700,"School","Male",10004,68982,"District of Columbia"
"Florida",187748,"School","Male",6436,73481,"Florida"
"Georgia",1184109,"School","Male",38694,522171,"Georgia"
"Idaho Territory",14999,"School","Male",244,11345,"Idaho"
"Illinois",2539891,"School","Male",285253,1290236,"Illinois"
"Indiana",1680637,"School","Male",207983,854598,"Indiana"
"Iowa",1194020,"School","Male",160615,650627,"Iowa"
"Kansas",364399,"School","Male",32579,186770,"Kansas"
"Kentucky",1321011,"School","Male",94745,595798,"Kentucky"
"Louisiana",726915,"School","Male",26009,307711,"Louisiana"
"Maine",626915,"School","Male",80739,363355,"Maine"
"Maryland",780894,"School","Male",55476,363978,"Maryland"
"Massachusetts",1457351,"School","Male",144720,867226,"Massachusetts"
"Michigan",1184059,"School","Male",137376,668008,"Michigan"
"Minnesota",439706,"School","Male",50193,229418,"Minnesota"
"Mississippi",827922,"School","Male",19907,357991,"Mississippi"
"Missouri",1721295,"School","Male",170349,829896,"Missouri"
"Montana Territory",20595,"School","Male",499,14967,"Montana"
"Nebraska",122993,"School","Male",9467,61785,"Nebraska"
"Nevada",42491,"School","Male",1457,29803,"Nevada"
"New Hampshire",318300,"School","Male",34378,185992,"New Hampshire"
"New Jersey",906096,"School","Male",81104,454121,"New Jersey"
"New Mexico Territory",91874,"School","Male",1097,31241,"New Mexico"
"New York",4382759,"School","Male",433566,2337763,"New York"
"North Carolina",1071361,"School","Male",33848,416586,"North Carolina"
"Ohio",2665260,"School","Male",334464,1486513,"Ohio"
"Oregon",90923,"School","Male",9594,48728,"Oregon"
"Pennsylvania",3521951,"School","Male",373697,1745543,"Pennsylvania"
"Rhode Island",217353,"School","Male",17952,123484,"Rhode Island"
"South Carolina",705606,"School","Male",21070,304866,"South Carolina"
"Tennessee",1258520,"School","Male",63462,488692,"Tennessee"
"Texas",818579,"School","Male",33643,302325,"Texas"
"Utah Territory",86786,"School","Male",7622,36142,"Utah"
"Vermont",330551,"School","Male",36813,178962,"Vermont"
"Virginia",1225163,"School","Male",36888,483505,"Virginia"
"Washington Territory",23955,"School","Male",1878,13292,"Washington"
"West Virginia",442014,"School","Male",43912,197422,"West Virginia"
"Wisconsin",1054670,"School","Male",135195,553410,"Wisconsin"
"Wyoming Territory",9118,"School","Male",179,7009,"Wyoming"
"Alabama",996992,"School","Female",38539,442397,"Alabama"
"Arizona Territory",9658,"School","Female",70,6179,"Arizona"
"Arkansas",484471,"School","Female",29504,198521,"Arkansas"
"California",560247,"School","Female",44261,329651,"California"
"Colorado Territory",39864,"School","Female",1228,20199,"Colorado"
"Connecticut",537454,"School","Female",48356,293053,"Connecticut"
"Dakota Territory",14181,"School","Female",522,7015,"Dakota"
"Delaware",125015,"School","Female",9440,60278,"Delaware"
